Year;VVP;SG4Z;4BR;4BRZ;SDDN;SNZP;DKB;DMAS;NALOBR;INVOSN;INDPOTR
2000;7306;64517;7700;1037;2281;2223;2097693;1154;419;1165234;120
2001;8944;64710;6303;1122;3062;3240;2683674;1613;584;1504712;119
2002;10831;65359;6268;1500;3947;4360;3519228;2135;763;1762407;115
2003;13243;65666;5951;1639;5170;5498;4138687;3213;1147;2186365;112
2004;16752;66407;6116;1920;6383;6739;5429886;4363;1535;2729834;112
2005;21610;66683;5242;1830;8088;8555;8579637;6045;2009;3611109;111
2006;26917;67174;4999;1742;10154;10633;10625812;8996;2785;4730023;109
2007;33248;68019;4246;1553;12540;13593;13368262;13272;3702;6716222;112
2008;41277;68474;5289;1522;14863;17290;16003860;13493;3795;8781616;113
2009;38807;67463;6162;2147;16895;18637;13599718;15698;4038;7930255;109
2010;46309;67493;5544;1589;18958;20952;16031930;24483;5939;9152096;109
2011;55800;67727;4922;1286;20780;23369;20855368;27405;6430;11035652;106
2012;62599;67968;4131;1065;23058;26629;23435105;31405;6986;12586090;107
2013;71017;67901;4137;918;25928;29792;24442700;32111;7172;13450238;107
2014;79058;67813;3889;883;27412;32495;26766100;31616;7172;13557515;111
2015;83094;72425;4264;1001;30254;34030;26922010;35180;7239;13897188;113
2016;86014;72065;4243;895;30865;36709;28181540;38418;7715;14748847;105
2017;92101;71843;3967;776;31745;39167;31046674;42442;8446;16027302;103
2018;103876;71726;3657;693;33010;43445;37320300;47109;9339;17782012;104
2019;109193;71064;3485;730;34741;46417;39497600;49195;9658;19318812;103
2020;106606;70300;4581;2780;33712;49422;37856700;56122;12135;20118370;101
